"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"4626","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Kamitakaoka","Shirayama (Takamatsu)",24,"No_information",73333.3333333333,"Rectangular Shaped",10.4,105,1996,"W","House","No_information","East","Private Road",5,"Non-divided City Planning Area",200,"2nd",2008,12,0,"2","1"
"4627","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",5,"No_information",81818.1818181818,"Semi-rectangular Shaped",19,130,1996,"W","House","No_information","South","Private Road",4,"Category II Exclusively Medium-high Residential Zone",200,"2nd",2013,17,0,"3","2"
"4628","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",60,"No_information",19591.8367346939,"Semi-shaped",33,320,1971,"W","House","Other","North","City Road",3,"Category I Exclusively Low-story Residential Zone",100,"4th",2020,49,0,"3","1"
"4629","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Nishiyama","Sanbonmatsu (Kagawa)",90,"No_information",10315.7894736842,"Rectangular Shaped",27,130,1965,"W","House","No_information","East","National Highway",12,"Outside City Planning Area",0,"2nd",2012,47,0,"2","1"
"4630","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",9,"No_information",43243.2432432432,"Rectangular Shaped",11.5,125,1983,"W","House","House","South","Private Road",4,"Category II Exclusively Medium-high Residential Zone",200,"2nd",2020,37,0,"3","2"
"4631","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Yamanokitacho","Marugame",28,"No_information",33333.3333333333,"Irregular Shaped",0,120,1973,"W","House","No_information","Northeast","Private Road",4,"Category I Residential Zone",200,"4th",2013,40,0,"2","2"
"4632","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",7,"1DK",83333.3333333333,"No_information",0,0,1989,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"4th",2018,29,0,"4","2"
"4633","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Gobomachi","Kataharamachi (Takamatsu)",7,"No_information",333333.333333333,"Semi-rectangular Shaped",5,190,1987,"S","House, Shop","No_information","West","City Road",6,"Commercial Zone",500,"1st",2010,23,0,"4","2"
"4634","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Shindencho","Yashima",60,"No_information",30769.2307692308,"Semi-rectangular Shaped",31,195,1981,"W","House","No_information","North","Road",5,"Non-divided City Planning Area",200,"1st",2010,29,0,"3","2"
"4635","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Busshozancho","Busshozan",16,"No_information",24137.9310344828,"Irregular Shaped",12.5,120,1987,"W","House","No_information","Northwest","Prefectural Road",4,"Category I Exclusively Medium-high Residential Zone",200,"1st",2015,28,0,"3","1"
"4636","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Konanchonishinosho","Okamoto (Takamatsu)",60,"No_information",19444.4444444444,"Semi-shaped",17.5,145,1973,"W","House","No_information","Northeast","City Road",5.5,"Non-divided City Planning Area",200,"1st",2008,35,0,"2","1"
"4637","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Kozare","Nibu",18,"No_information",134210.526315789,"Semi-rectangular Shaped",17,130,1980,"LS","House","No_information","West","City Road",3.5,"Outside City Planning Area",0,"4th",2019,39,0,"1","1"
"4638","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Enai","Enai",9,"No_information",54054.0540540541,"Semi-shaped",12,210,1991,"W","House","House","Southeast","Town Road",4,"Non-divided City Planning Area",200,"2nd",2018,27,0,"1","1"
"4639","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yuracho","Mizuta",26,"No_information",9638.55421686747,"Semi-rectangular Shaped",35,250,1935,"W","House","Other","South","Town Road",4,"Non-divided City Planning Area",100,"3rd",2014,79,0,"3","1"
"4640","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Mizuta",21,"No_information",140540.540540541,"Rectangular Shaped",11.2,90,2019,"W","House","House","North","Private Road",6,"Non-divided City Planning Area",100,"4th",2019,0,1,"3","2"
"4641","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Uoyamachi","Marugame",6,"No_information",30952.380952381,"Semi-rectangular Shaped",5.3,0,1958,"W","House, Shop","Other","Southwest","City Road",4.4,"Commercial Zone",400,"4th",2016,58,0,"2","1"
"4642","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Kukodori",29,"No_information",27777.7777777778,"Semi-rectangular Shaped",12,70,1935,"W","House","No_information","East","City Road",4,"Quasi-residential Zone",200,"4th",2012,77,0,"2","1"
"4643","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Matsubara","Sanukishirotori",6,"No_information",16800,"Semi-rectangular Shaped",17,65,1969,"W","House","House","Northeast","City Road",4,"Non-divided City Planning Area",200,"2nd",2015,46,0,"1","1"
"4644","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Ikeda","No_station",999,"No_information",51020.4081632653,"Semi-rectangular Shaped",25,165,2010,"W","House","House","Northeast","Private Road",4,"Outside City Planning Area",0,"1st",2014,4,0,"1","1"
"4645","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichokashihara","Kokubu (Kagawa)",60,"No_information",30769.2307692308,"Semi-rectangular Shaped",10,135,1991,"No_information","House","House","Southeast","City Road",5.5,"Non-divided City Planning Area",100,"2nd",2018,27,0,"2","1"
"4646","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Niochonio","Takuma",90,"No_information",24000,"Semi-square Shaped",11.5,125,1965,"B","House","House","Northeast","City Road",3.8,"Non-divided City Planning Area",200,"4th",2015,50,0,"1","1"
"4647","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Minamigamo","Tadotsu",23,"No_information",169696.96969697,"Semi-rectangular Shaped",13.5,0,2016,"W","House","House","Southeast","Private Road",5,"Non-divided City Planning Area",200,"2nd",2017,1,0,"2","1"
"4648","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Okushirakata","Kaiganji",15,"No_information",24000,"Rectangular Shaped",14.5,115,1994,"W","House","House","Northeast","Private Road",6,"Non-divided City Planning Area",200,"1st",2017,23,0,"1","1"
"4649","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",21,"No_information",162162.162162162,"Semi-rectangular Shaped",12,125,2007,"W","House","No_information","South","Private Road",5,"Category I Residential Zone",200,"4th",2007,0,1,"3","2"
"4650","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Matsushima 2-chome",8,"2DK",90909.0909090909,"No_information",0,0,2003,"RC","House","House","No_information","No_information",0,"Quasi-industrial Zone",200,"3rd",2020,17,0,"3","2"
"4651","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaiminamimachi","Kozai",24,"No_information",175757.575757576,"Semi-rectangular Shaped",9.5,100,2019,"W","House","House","North","Private Road",6,"Non-divided City Planning Area",100,"1st",2020,1,0,"3","2"
"4652","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachookadakami","Hazama",13,"No_information",33333.3333333333,"Semi-rectangular Shaped",11.5,135,1990,"W","House","No_information","North","City Road",3,"Non-divided City Planning Area",200,"1st",2008,18,0,"2","1"
"4653","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Teraicho","Ichinomiya",6,"No_information",56666.6666666667,"Semi-shaped",12.5,100,1990,"W","House","No_information","East","City Road",2.5,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2010,20,0,"2","1"
"4654","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Hiketa","Hiketa",5,"No_information",83.3333333333333,"Semi-rectangular Shaped",8.5,85,1977,"W","House","House","Southwest","City Road",4.5,"Non-divided City Planning Area",200,"1st",2018,41,0,"1","1"
"4655","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Teraicho","Kukodori",5,"No_information",34615.3846153846,"Semi-rectangular Shaped",10.2,70,1976,"W","House","No_information","West","Private Road",4,"Category I Exclusively Medium-high Residential Zone",200,"4th",2012,36,0,"2","1"
"4656","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Gakuendori",28,"No_information",96969.696969697,"Semi-rectangular Shaped",9,130,1998,"W","House","No_information","South","Private Road",6,"Non-divided City Planning Area",200,"1st",2009,11,0,"2","1"
