"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"1359","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"4LDK",115789.473684211,"No_information",0,0,1990,"SRC","House","House","No_information","No_information",0,"Quasi-industrial Zone",200,"4th",2014,24,0,"3","2"
"1360","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahikamimachi","Ota (Takamatsu)",15,"No_information",62857.1428571429,"Semi-shaped",6,150,1994,"W","House","No_information","East","Private Road",4,"Non-divided City Planning Area",200,"1st",2009,15,0,"4","2"
"1361","Residential Land(Land and Building)","Residential Area","37204","Kagawa Prefecture","Zentsuji City","Ikanocho","Zentsuji",20,"No_information",44444.4444444444,"Semi-shaped",17,90,1980,"W","House","No_information","Northeast","City Road",4,"Category I Exclusively Medium-high Residential Zone",200,"1st",2010,30,0,"2","1"
"1362","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",16,"No_information",3947.36842105263,"Semi-trapezoidal Shaped",0,125,1990,"W","House","No_information","West","Town Road",9,"Non-divided City Planning Area",200,"1st",2021,31,0,"2","1"
"1363","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mitanicho","Busshozan",60,"No_information",13402.0618556701,"Irregular Shaped",44,135,1971,"W","House","House","North","City Road",5.5,"Non-divided City Planning Area",100,"1st",2019,48,0,"3","2"
"1364","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Nishimachi","Showacho (Kagawa)",17,"No_information",35000,"Rectangular Shaped",11.5,85,1952,"W","House","Other","Southeast","City Road",4,"Quasi-industrial Zone",200,"1st",2016,64,0,"3","2"
"1365","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Umaki","No_station",999,"No_information",21904.7619047619,"Irregular Shaped",21.5,105,1935,"W","House","No_information","South","Town Road",3.3,"Non-divided City Planning Area",200,"3rd",2008,73,0,"1","1"
"1366","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",12,"No_information",79166.6666666667,"Semi-trapezoidal Shaped",9.5,130,1991,"W","House","House","North","City Road",4.5,"Category I Exclusively Medium-high Residential Zone",200,"4th",2020,29,0,"4","2"
"1367","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",8,"3LDK",169230.769230769,"No_information",0,0,1998,"SRC","House","No_information","No_information","No_information",0,"Quasi-industrial Zone",200,"1st",2010,12,0,"4","2"
"1368","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Yokouchi","Sanbonmatsu (Kagawa)",11,"No_information",13478.2608695652,"Semi-rectangular Shaped",13,160,1963,"W","House","No_information","South","City Road",4,"Category I Residential Zone",200,"4th",2008,45,0,"2","1"
"1369","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Ayautachotomikuma","Kurikuma",24,"No_information",26000,"Square Shaped",0,0,2011,"No_information","House","No_information","South","Private Road",6,"Non-divided City Planning Area",200,"2nd",2011,0,1,"2","1"
"1370","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",11,"No_information",178571.428571429,"Semi-rectangular Shaped",15,95,2008,"W","House","No_information","West","Private Road",4.5,"Category I Exclusively Low-story Residential Zone",100,"1st",2008,0,1,"3","2"
"1371","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Hikami","Gakuendori",21,"No_information",137500,"Semi-square Shaped",7,125,2015,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",200,"1st",2015,0,1,"2","1"
"1372","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",20,"3LDK",292307.692307692,"No_information",0,0,2008,"RC","House","House","No_information","No_information",0,"Category I Residential Zone",200,"4th",2016,8,0,"3","2"
"1373","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Hiroshimacho","No_station",999,"No_information",7073.17073170732,"Semi-trapezoidal Shaped",22,130,1993,"W","House","House","Northeast","City Road",4.3,"Outside City Planning Area",0,"2nd",2016,23,0,"1","1"
"1374","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Sammyocho","Ota (Takamatsu)",25,"No_information",15151.5151515152,"Semi-shaped",21,105,1983,"LS","House","House","North","Road",4,"Non-divided City Planning Area",200,"3rd",2018,35,0,"4","1"
"1375","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Takinomiya","Takinomiya",6,"No_information",117647.058823529,"Semi-trapezoidal Shaped",14,110,2011,"W","House","No_information","Northwest","Private Road",5,"Non-divided City Planning Area",200,"4th",2011,0,1,"2","1"
"1376","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Sangawamachiishidanishi","Kanzaki (Kagawa)",60,"No_information",13500,"Semi-rectangular Shaped",15,130,1991,"W","House","No_information","West","City Road",4,"Non-divided City Planning Area",200,"3rd",2020,29,0,"1","1"
"1377","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"3LDK",53333.3333333333,"No_information",0,0,1975,"SRC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"3rd",2015,40,0,"4","1"
"1378","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",6,"No_information",5000,"Semi-rectangular Shaped",14.5,100,1968,"RC","House","House","East","Private Road",2.5,"Category I Exclusively Medium-high Residential Zone",200,"1st",2015,47,0,"2","1"
"1379","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachokawahigashikami","Kukodori",90,"No_information",36000,"Semi-rectangular Shaped",8,100,1990,"W","House","No_information","South","Private Road",4,"Neighborhood Commercial Zone",200,"2nd",2013,23,0,"2","1"
"1380","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Dokichohigashi","Marugame",60,"No_information",165000,"Irregular Shaped",19.5,100,2018,"W","House","House","Northeast","City Road",4,"Category I Exclusively Medium-high Residential Zone",200,"4th",2018,0,1,"2","1"
"1381","Residential Land(Land and Building)","Commercial Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Fuchizaki","No_station",999,"No_information",26190.4761904762,"Irregular Shaped",14.5,65,1935,"W","House","No_information","North","Prefectural Road",6.2,"Non-divided City Planning Area",200,"4th",2008,73,0,"1","1"
"1382","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Kitahigashiguchi",13,"No_information",150000,"Semi-rectangular Shaped",13.5,120,2020,"W","House","House","South","Private Road",5,"Non-divided City Planning Area",100,"1st",2020,0,1,"3","1"
"1383","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Hashioka",60,"No_information",60000,"Semi-trapezoidal Shaped",26,120,1998,"W","House","No_information","South","City Road",5,"Category I Exclusively Low-story Residential Zone",100,"1st",2012,14,0,"3","1"
"1384","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tahishimomachi","Ota (Takamatsu)",18,"No_information",230000,"Semi-rectangular Shaped",16.7,120,2016,"LS","House","House","North","City Road",8,"Quasi-industrial Zone",200,"3rd",2015,-1,0,"4","3"
"1385","Residential Land(Land and Building)","Commercial Area","37205","Kagawa Prefecture","Kan-onji City","Kanonjicho","Kan-onji (Kagawa)",6,"No_information",33333.3333333333,"Rectangular Shaped",7.5,130,1935,"W","House","No_information","Northeast","City Road",9,"Commercial Zone",400,"3rd",2013,78,0,"2","1"
"1386","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Takasechohijinaka","Takase (Kagawa)",16,"No_information",7272.72727272727,"Semi-shaped",27,210,1935,"W","House","Warehouse","Northeast","City Road",3,"Outside City Planning Area",0,"2nd",2019,84,0,"1","1"
"1387","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamitenjincho","Ota (Takamatsu)",24,"No_information",33928.5714285714,"Rectangular Shaped",0,165,1994,"W","House","House","South","Private Road",6,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2017,23,0,"4","1"
"1388","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Ejiricho","Sakaide",60,"No_information",71428.5714285714,"Semi-square Shaped",15,105,1981,"LS","House","House","Northeast","City Road",9,"Category I Exclusively Medium-high Residential Zone",200,"1st",2019,38,0,"2","1"
"1389","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Mizuta",15,"No_information",135000,"Semi-shaped",19,115,2021,"W","House","House","South","Private Road",5,"Non-divided City Planning Area",100,"2nd",2020,-1,0,"3","1"
"1390","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Sogawanishimachi","Takata (Takamatsu)",60,"No_information",123809.523809524,"Semi-rectangular Shaped",12,115,2011,"W","House","No_information","West","Private Road",6,"Non-divided City Planning Area",200,"3rd",2011,0,1,"2","2"
"1391","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Sammyocho","Busshozan",18,"No_information",108108.108108108,"Semi-rectangular Shaped",12,100,2020,"W","House","House","North","Private Road",5,"Non-divided City Planning Area",100,"1st",2020,0,1,"3","1"
"1392","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",7,"4LDK",189473.684210526,"No_information",0,0,2000,"SRC","House","No_information","No_information","No_information",0,"Category I Residential Zone",200,"1st",2010,10,0,"3","2"
"1393","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","Hama9bancho","Utazu",16,"No_information",154166.666666667,"Rectangular Shaped",9.5,115,2008,"W","House","No_information","Northwest","Town Road",6,"Category I Exclusively Medium-high Residential Zone",200,"2nd",2008,0,1,"3","2"
"1394","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Motoyama (Takamatsu)",10,"No_information",16666.6666666667,"Semi-trapezoidal Shaped",14,230,1974,"RC","House","No_information","South","Private Road",4,"Non-divided City Planning Area",200,"2nd",2011,37,0,"3","1"
"1395","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Nakasuji","Sanbonmatsu (Kagawa)",19,"No_information",14062.5,"Semi-rectangular Shaped",14,115,1974,"W","House","House","West","Private Road",3.8,"Non-divided City Planning Area",200,"4th",2019,45,0,"2","1"
"1396","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"3LDK",66666.6666666667,"No_information",0,0,1975,"SRC","House","No_information","No_information","No_information",0,"Category II Residential Zone",200,"1st",2011,36,0,"4","1"
"1397","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Kitahigashiguchi",10,"No_information",95454.5454545455,"Semi-rectangular Shaped",11,115,2018,"W","House","House","North","Private Road",6,"Non-divided City Planning Area",100,"3rd",2017,-1,0,"3","1"
"1398","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Yasuda","No_station",999,"No_information",4761.90476190476,"Irregular Shaped",16.5,130,1935,"W","House","Other","North","Town Road",2,"Non-divided City Planning Area",200,"3rd",2014,79,0,"1","1"
"1399","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Uedacho","Kan-onji (Kagawa)",16,"No_information",16060.6060606061,"Rectangular Shaped",20,175,1977,"W","House","No_information","Southeast","City Road",4,"Non-divided City Planning Area",200,"4th",2016,39,0,"2","2"
"1400","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Higashiyamasakicho","Mizuta",12,"No_information",137500,"Semi-rectangular Shaped",12.2,105,2008,"W","House","No_information","East","Private Road",5,"Category I Exclusively Medium-high Residential Zone",200,"1st",2009,1,0,"3","1"
"1401","Residential Land(Land and Building)","Residential Area","37387","Kagawa Prefecture","Ayagawa Town,Ayauta County","Hatada","Kazashigaoka",25,"No_information",67692.3076923077,"Semi-trapezoidal Shaped",8.5,90,1991,"W","House","No_information","Southeast","Private Road",6,"Non-divided City Planning Area",200,"4th",2011,20,0,"2","1"
"1402","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Ota (Takamatsu)",7,"3LDK",271428.571428571,"No_information",0,0,2013,"RC","House","House","No_information","No_information",0,"Category I Residential Zone",200,"1st",2021,8,0,"4","2"
"1403","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozainishimachi","Kozai",23,"No_information",90322.5806451613,"Semi-square Shaped",12,105,2005,"W","House","House","East","Private Road",4.2,"Category I Exclusively Medium-high Residential Zone",100,"1st",2017,12,0,"3","1"
"1404","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",11,"No_information",68421.0526315789,"Rectangular Shaped",7,75,1977,"W","House","No_information","North","City Road",5,"Category I Exclusively Medium-high Residential Zone",300,"2nd",2010,33,0,"3","2"
"1405","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"No_information",104347.826086957,"Rectangular Shaped",8.5,110,1989,"LS","House","No_information","East","City Road",12,"Quasi-industrial Zone",200,"3rd",2012,23,0,"3","2"
"1406","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawashimahigashimachi","Takata (Takamatsu)",60,"No_information",10555.5555555556,"Rectangular Shaped",0,85,1987,"W","House","House","East","Village Road",4.5,"Non-divided City Planning Area",100,"1st",2017,30,0,"2","1"
"1407","Residential Land(Land and Building)","Residential Area","37208","Kagawa Prefecture","Mitoyo City","Toyonakachohijidai","Hijidai",7,"No_information",16666.6666666667,"Semi-trapezoidal Shaped",20,80,1988,"W","House","No_information","Southeast","City Road",5.5,"Non-divided City Planning Area",200,"2nd",2018,30,0,"1","1"
"1408","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Enai","Kotohira",10,"No_information",24657.5342465753,"Irregular Shaped",26,75,2001,"LS","House","House","South","Town Road",2.5,"Non-divided City Planning Area",200,"4th",2014,13,0,"1","1"
"1409","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Shiroganecho","Sakaide",15,"No_information",115000,"Semi-rectangular Shaped",10.7,105,2018,"W","House","House","South","City Road",4.1,"Category I Residential Zone",200,"2nd",2018,0,1,"2","1"
"1410","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Teraicho","Kukodori",19,"No_information",108695.652173913,"Irregular Shaped",9,125,2008,"W","House","No_information","Northeast","Private Road",5,"Non-divided City Planning Area",200,"3rd",2008,0,1,"2","1"
"1411","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Chokushicho","Ota (Takamatsu)",60,"No_information",39393.9393939394,"Semi-rectangular Shaped",17,135,1984,"W","House","No_information","South","Private Road",6,"Category II Exclusively Medium-high Residential Zone",200,"4th",2007,23,0,"4","1"
"1412","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Furukawacho","Motoyama (Kagawa)",60,"No_information",11666.6666666667,"Semi-rectangular Shaped",17,85,1980,"W","House","House","North","City Road",2.5,"Outside City Planning Area",0,"1st",2019,39,0,"2","1"
"1413","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Fujitsukacho","Ritsurin",6,"No_information",138461.538461538,"Semi-rectangular Shaped",10,250,1971,"B","House, Shop","No_information","North","City Road",15,"Commercial Zone",300,"1st",2010,39,0,"4","2"
"1414","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Hayashidacho","Kamogawa",60,"No_information",90476.1904761905,"Rectangular Shaped",11.9,90,1935,"W","House","House","Southeast","City Road",6,"Non-divided City Planning Area",200,"1st",2021,86,0,"2","1"
"1415","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Hayashidacho","Sakaide",60,"No_information",1e+05,"Semi-trapezoidal Shaped",11.7,130,2009,"W","House","No_information","Southwest","City Road",4.3,"Quasi-industrial Zone",200,"2nd",2011,2,0,"2","1"
"1416","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Kawatsucho","Sakaide",60,"No_information",102564.102564103,"Semi-trapezoidal Shaped",11,105,2013,"W","House","No_information","Southwest","City Road",4,"Non-divided City Planning Area",200,"3rd",2012,-1,0,"2","1"
"1417","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Kankocho","Hanazono (Takamatsu)",10,"3LDK",117333.333333333,"No_information",0,0,1989,"SRC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"4th",2016,27,0,"3","1"
"1418","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Shionoechokaminishi","Kukodori",150,"1DK",62500,"No_information",0,0,1935,"RC","House","No_information","No_information","No_information",0,"Outside City Planning Area",0,"3rd",2011,76,0,"2","1"
"1419","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Fukuecho","Sakaide",5,"No_information",32105.2631578947,"Semi-rectangular Shaped",12.2,145,1974,"W","House","House","West","City Road",4.2,"Category I Exclusively Low-story Residential Zone",100,"2nd",2018,44,0,"2","1"
"1420","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Busshozancho","Busshozan",1,"No_information",204000,"Semi-rectangular Shaped",8,105,1981,"W","House, Shop","No_information","South","City Road",5.5,"Neighborhood Commercial Zone",200,"3rd",2016,35,0,"3","1"
"1421","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kinashi",20,"No_information",145454.545454545,"Semi-rectangular Shaped",10,0,1935,"No_information","House","House","South","Private Road",6,"Non-divided City Planning Area",100,"4th",2017,82,0,"3","2"
"1422","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechoomachi","Shioya (Takamatsu)",6,"No_information",103225.806451613,"Irregular Shaped",10.5,95,2008,"W","House","House","Southwest","Road",5,"Category I Residential Zone",200,"1st",2021,13,0,"3","1"
"1423","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Ikenobe","Ikenobe",6,"No_information",7049.18032786885,"Semi-rectangular Shaped",20,165,1946,"W","House","House","East","Town Road",4,"Non-divided City Planning Area",200,"4th",2019,73,0,"2","1"
"1424","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Ritsurinkoen",7,"2DK",87500,"No_information",0,0,1985,"RC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"4th",2010,25,0,"4","2"
"1425","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otakamimachi","Ota (Takamatsu)",17,"No_information",181818.181818182,"Semi-rectangular Shaped",9.5,140,2008,"S, W","House","No_information","North","Private Road",4,"Category I Residential Zone",200,"3rd",2008,0,1,"4","2"
"1426","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Hanzanchohigashisakamoto","Kurikuma",90,"No_information",19629.6296296296,"Semi-trapezoidal Shaped",0,100,1995,"W","House","No_information","South","Private Road",4,"Non-divided City Planning Area",200,"2nd",2012,17,0,"2","1"
"1427","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Miyawakicho","Showacho (Kagawa)",6,"3LDK",186666.666666667,"No_information",0,0,1995,"SRC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2011,16,0,"3","2"
"1428","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Sho","Tadotsu",20,"No_information",13461.5384615385,"&quot;Flag-shaped&quot; etc.",0,90,1995,"W","House","House","Southwest","Town Road",3.2,"Category I Residential Zone",200,"2nd",2017,22,0,"2","1"
"1429","Residential Land(Land and Building)","Commercial Area","37202","Kagawa Prefecture","Marugame City","Kawanishichominami","Okada (Takamatsu)",90,"No_information",32258.064516129,"Semi-rectangular Shaped",47,300,1935,"W","House, Shop","No_information","West","Prefectural Road",7.3,"Non-divided City Planning Area",200,"2nd",2011,76,0,"2","1"
"1430","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Takamatsucho","Furutakamatsuminami",11,"No_information",146153.846153846,"Semi-square Shaped",11,85,2011,"W","House","No_information","South","Private Road",4.5,"Category I Exclusively Low-story Residential Zone",80,"3rd",2011,0,1,"2","1"
"1431","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",10,"4LDK",250000,"No_information",0,0,2007,"RC","House","No_information","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2012,5,0,"4","1"
"1432","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Shionoechokaminishi","Kukodori",150,"2LDK",74000,"No_information",0,0,1988,"RC","House","No_information","No_information","No_information",0,"Outside City Planning Area",0,"4th",2012,24,0,"2","1"
"1433","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",18,"4LDK",152941.176470588,"No_information",0,0,1997,"RC","House","No_information","No_information","No_information",0,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2009,12,0,"3","2"
"1434","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hamanocho","Takamatsu (Kagawa)",10,"No_information",63333.3333333333,"No_information",0,0,1975,"SRC","House","House","No_information","No_information",0,"Category II Residential Zone",200,"1st",2017,42,0,"4","1"
"1435","Residential Land(Land and Building)","Residential Area","37406","Kagawa Prefecture","Manno Town,Nakatado County","Shijo","Enai",8,"No_information",29729.7297297297,"Semi-rectangular Shaped",13,70,1990,"W","House","House","Northwest","Town Road",4.5,"Non-divided City Planning Area",200,"3rd",2015,25,0,"1","1"
"1436","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Matsufukucho","Matsushima 2-chome",5,"1R",80000,"No_information",0,0,1989,"RC","House","No_information","No_information","No_information",0,"Quasi-industrial Zone",200,"2nd",2012,23,0,"3","2"
"1437","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Tahishimomachi","Ota (Takamatsu)",13,"4LDK",187500,"No_information",0,0,2005,"RC","House","House","No_information","No_information",0,"Quasi-industrial Zone",200,"3rd",2014,9,0,"4","3"
"1438","Residential Land(Land and Building)","Residential Area","37403","Kagawa Prefecture","Kotohira Town,Nakatado County","Kotohira","Kotohira",10,"No_information",35294.1176470588,"Semi-rectangular Shaped",6,55,1935,"W","House","No_information","Northwest","Town Road",4.7,"Non-divided City Planning Area",200,"3rd",2007,72,0,"1","1"
"1439","Residential Land(Land and Building)","Residential Area","37206","Kagawa Prefecture","Sanuki City","Zotamiyanishi","Orange Town",12,"No_information",91666.6666666667,"Semi-rectangular Shaped",14,70,2021,"W","House","House","West","City Road",6,"Non-divided City Planning Area",200,"4th",2020,-1,0,"3","1"
"1440","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","Fuchizaki","No_station",999,"No_information",30476.1904761905,"Trapezoidal Shaped",13.5,60,1935,"W","House","No_information","Northeast","Town Road",2.7,"Non-divided City Planning Area",200,"2nd",2010,75,0,"1","1"
"1441","Residential Land(Land and Building)","Commercial Area","37206","Kagawa Prefecture","Sanuki City","Shido","Shido",18,"No_information",75000,"Semi-rectangular Shaped",12.5,105,2019,"W","House","House","West","Prefectural Road",11.5,"Quasi-industrial Zone",200,"2nd",2019,0,1,"2","1"
"1442","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Furukawacho","Kan-onji (Kagawa)",60,"No_information",64516.1290322581,"Semi-rectangular Shaped",10,80,1988,"W","House","No_information","Northwest","City Road",5,"Non-divided City Planning Area",200,"2nd",2008,20,0,"2","1"
"1443","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",5,"No_information",36410.2564102564,"Square Shaped",14,70,1963,"W","House","House","North","Private Road",4,"Quasi-industrial Zone",200,"2nd",2015,52,0,"4","2"
"1444","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Kazuhara","Tadotsu",21,"No_information",46285.7142857143,"Semi-trapezoidal Shaped",10,100,1989,"W","House","No_information","Northeast","Private Road",4.2,"Non-divided City Planning Area",200,"4th",2007,18,0,"2","1"
"1445","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Teraicho","Kukodori",8,"No_information",81250,"Semi-rectangular Shaped",10.5,150,1993,"LS","House","House","East","Road",4,"Category I Exclusively Medium-high Residential Zone",200,"3rd",2014,21,0,"2","1"
"1446","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mitanicho","Busshozan",60,"No_information",109677.419354839,"Semi-rectangular Shaped",14,100,2014,"W","House","House","South","Private Road",6,"Non-divided City Planning Area",100,"2nd",2014,0,1,"3","2"
"1447","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Sanjo (Takamatsu)",26,"No_information",131818.181818182,"Semi-rectangular Shaped",11,120,1935,"W","House","No_information","North","City Road",6,"Category II Exclusively Medium-high Residential Zone",200,"2nd",2009,74,0,"4","2"
"1448","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Otashimomachi","Ota (Takamatsu)",13,"No_information",217647.058823529,"Rectangular Shaped",9.2,135,2018,"W","House","House","South","City Road",4,"Category I Exclusively Medium-high Residential Zone",200,"1st",2018,0,1,"4","2"
"1449","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Ota (Takamatsu)",25,"No_information",165714.285714286,"Semi-square Shaped",12.5,115,2019,"W","House","House","East","Private Road",6,"Non-divided City Planning Area",100,"4th",2019,0,1,"4","2"
"1450","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Hanzanchohigashisakamoto","Kurikuma",90,"No_information",23809.5238095238,"Semi-square Shaped",14,90,1977,"W","House","House","Southeast","City Road",5.8,"Non-divided City Planning Area",200,"2nd",2014,37,0,"2","1"
