"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"3734","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,200,115000,"Semi-shaped",16,95,1935,"W","House",NA,"East","Private Road",5.5,"Non-divided City Planning Area",60,200,"1st",2010
"3735","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Ota (Takamatsu)",60,NA,300,93333.3333333333,"Square Shaped",17.5,115,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",60,200,"1st",2010
"3736","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kubaracho","Marugame",60,NA,175,148571.428571429,"Rectangular Shaped",10.5,115,1935,"W","House","House","Southeast","Private Road",5,"Non-divided City Planning Area",70,200,"1st",2014
"3737","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Kubaracho","Marugame",29,NA,185,140540.540540541,"Semi-rectangular Shaped",14,115,1935,NA,"House","House","Northwest","City Road",5,"Non-divided City Planning Area",70,200,"1st",2014
"3738","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Busshozan",60,NA,240,125000,"Rectangular Shaped",13.5,125,1935,"W","House",NA,"West","City Road",5,"Non-divided City Planning Area",60,200,"3rd",2010
"3739","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamihayashicho","Busshozan",60,NA,160,131250,"Rectangular Shaped",10,110,1935,"W","House",NA,"South","Private Road",5,"Non-divided City Planning Area",60,200,"3rd",2010
"3740","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Gungecho","Konzoji",60,"4LDK",75,109333.333333333,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Non-divided City Planning Area",70,200,"1st",2014
"3741","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Zentsuji",60,NA,195,123076.923076923,"Semi-square Shaped",13,105,1935,"W","House","House","Northeast","City Road",5.7,"Non-divided City Planning Area",70,100,"4th",2014
"3742","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kamifukuokacho","Hanazono (Takamatsu)",11,NA,65,58461.5384615385,"Semi-rectangular Shaped",6,75,1935,"W","House",NA,"North","Private Road",3.6,"Category I Residential Zone",60,200,"4th",2010
"3743","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kamifukuokacho","Hanazono (Takamatsu)",12,"3LDK",70,121428.571428571,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"1st",2010
"3744","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kamifukuokacho","Hayashimichi",9,"3LDK",60,75000,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"2nd",2010
"3745","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",90,NA,105,33333.3333333333,"Irregular Shaped",NA,105,1935,"W","House","House","West","Private Road",5,"Non-divided City Planning Area",70,200,"2nd",2014
"3746","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",90,NA,200,130000,"Irregular Shaped",NA,NA,1935,"W","House","House","Southeast","Private Road",5,"Non-divided City Planning Area",70,200,"2nd",2014
"3747","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gobushocho","Marugame",16,NA,90,55555.5555555556,"Semi-rectangular Shaped",4.2,110,1935,"W","House",NA,"Southwest","City Road",7.2,"Neighborhood Commercial Zone",80,200,"1st",2014
"3748","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Konzoji",60,NA,210,27142.8571428571,"Semi-rectangular Shaped",12,80,1935,"W","House","House","Northwest","City Road",4.6,"Non-divided City Planning Area",70,200,"2nd",2014
"3749","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Zentsuji",60,NA,190,152631.578947368,"Semi-trapezoidal Shaped",12.8,90,1935,"W","House","House","North","Private Road",6,"Non-divided City Planning Area",70,200,"3rd",2014
"3750","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Sanjocho","Zentsuji",60,NA,185,43243.2432432432,"Semi-rectangular Shaped",6,90,1935,"W","House","House","North","Private Road",4,"Non-divided City Planning Area",70,200,"2nd",2014
"3751","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawashimahigashimachi","Takata (Takamatsu)",60,NA,180,72222.2222222222,"Semi-rectangular Shaped",11,120,1935,"W","House",NA,"East","City Road",6,"Category II Exclusively Medium-high Residential Zone",60,200,"1st",2010
"3752","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Shioyacho","Sanukishioya",19,"1DK",25,92000,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Category I Residential Zone",60,200,"4th",2014
"3753","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kawanabecho","Enza",24,NA,220,95454.5454545455,"Semi-rectangular Shaped",13.5,125,1935,"W","House",NA,"North","Private Road",5,"Non-divided City Planning Area",70,200,"2nd",2010
"3754","Pre-owned Condominiums, etc.",NA,"37202","Kagawa Prefecture","Marugame City","Jotocho","Marugame",16,"3LDK",70,57142.8571428571,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"1st",2014
"3755","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Shindencho","Sanukishioya",26,NA,330,13030.303030303,"Rectangular Shaped",12,125,1935,"W","House","Other","Northwest","City Road",5,"Category I Exclusively Low-story Residential Zone",60,80,"2nd",2014
"3756","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Okimatsushima",9,"3LDK",70,285714.285714286,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2010
"3757","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Okimatsushima",9,"3LDK",70,285714.285714286,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2010
"3758","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Okimatsushima",13,"2LDK",80,2e+05,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"2nd",2010
"3759","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Okimatsushima",12,"3LDK",65,104615.384615385,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2010
"3760","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Okimatsushima",13,"3LDK",75,130666.666666667,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Neighborhood Commercial Zone",80,300,"1st",2010
"3761","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tamuracho","Marugame",28,NA,65,23076.9230769231,"Semi-shaped",4.9,55,1935,"W","House","House","North","Private Road",4,"Category I Residential Zone",60,200,"4th",2014
"3762","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tamuracho","Marugame",60,NA,160,53125,"Semi-square Shaped",12.5,125,1935,"S, W","House","House","North","City Road",4,"Category I Exclusively Low-story Residential Zone",60,100,"3rd",2014
"3763","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tamuracho","Marugame",60,NA,960,18750,"Semi-shaped",43,280,1935,"W","House","House","East","City Road",4.7,"Category I Residential Zone",60,200,"2nd",2014
"3764","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Tamuracho","Marugame",28,NA,270,40740.7407407407,"Semi-trapezoidal Shaped",23,110,1935,"W","House",NA,"Southeast","City Road",6,"Category I Residential Zone",60,200,"1st",2014
"3765","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Kitacho","Kasugagawa",6,"3LDK",70,228571.428571429,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2010
