"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"4717","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Nishikimachi","Takamatsu (Kagawa)",11,"4LDK",100,160000,NA,NA,NA,1935,"RC","House",NA,NA,NA,0,"Category I Residential Zone",60,200,"2nd",2011
"5934","Residential Land(Land and Building)","Residential Area","37207","Kagawa Prefecture","Higashikagawa City","Sambommatsu","Sanbonmatsu (Kagawa)",4,NA,220,22727.2727272727,"Semi-trapezoidal Shaped",10,45,1935,"W","House","Other","South","City Road",4,"Category I Residential Zone",60,200,"2nd",2015
"4161","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mimayacho","Kinashi",60,NA,420,28571.4285714286,"Irregular Shaped",4.5,140,1935,"LS","House",NA,"South","City Road",4,"Non-divided City Planning Area",60,200,"3rd",2010
"4896","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Fukuda","No_station",NA,NA,270,2962.96296296296,"Irregular Shaped",14.5,30,1935,"W","House",NA,"South","Town Road",3,"Outside City Planning Area",NA,NA,"1st",2010
"681","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaihommachi","Kozai",13,NA,780,23076.9230769231,"Semi-rectangular Shaped",9.5,160,1935,"W","House","House","East","City Road",3.5,"Category I Residential Zone",60,200,"4th",2016
"6961","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Maejioyacho","Marugame",20,NA,270,20000,"Semi-rectangular Shaped",11.2,70,1935,"W","House",NA,"Northwest","City Road",15,"Category I Residential Zone",60,200,"1st",2013
"7908","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kitacho","Hayashimichi",11,NA,140,178571.428571429,"Semi-rectangular Shaped",15,95,1935,"W","House",NA,"West","Private Road",4.5,"Category I Exclusively Low-story Residential Zone",60,100,"1st",2008
"3226","Residential Land(Land and Building)","Residential Area","37404","Kagawa Prefecture","Tadotsu Town,Nakatado County","Oaza Okushirakata","Kaiganji",15,NA,350,11428.5714285714,"Rectangular Shaped",14.6,115,1935,"W","House","House","East","Private Road",6.2,"Non-divided City Planning Area",70,200,"3rd",2016
"7601","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Uedacho","Kan-onji (Kagawa)",13,NA,100,75000,"Trapezoidal Shaped",8,60,1935,"W","House",NA,"Northwest","Private Road",4,"Non-divided City Planning Area",70,200,"2nd",2009
"2066","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Gungecho","Marugame",60,NA,250,26800,"Semi-shaped",22.5,75,1935,"W","House","House","Southwest","City Road",16,"Non-divided City Planning Area",70,200,"2nd",2017
"6623","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichokokubu","Kokubu (Kagawa)",18,NA,250,104000,"Semi-square Shaped",15.5,120,1935,"W","House",NA,"West","City Road",5,"Non-divided City Planning Area",60,100,"3rd",2013
"7508","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yuracho","Takata (Takamatsu)",60,NA,165,109090.909090909,"Semi-trapezoidal Shaped",8,100,1935,"W","House",NA,"South","Private Road",6,"Non-divided City Planning Area",60,200,"3rd",2009
"6639","Residential Land(Land and Building)","Residential Area","37386","Kagawa Prefecture","Utazu Town,Ayauta County","Oaza Higashibun","Utazu",60,NA,260,84615.3846153846,"Semi-shaped",NA,105,1935,"W","House",NA,"East","Private Road",4.5,"Non-divided City Planning Area",60,200,"2nd",2012
"7421","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Hayashimichi",60,NA,180,194444.444444444,"Rectangular Shaped",11,125,1935,"S","House",NA,"South","Private Road",6,"Quasi-industrial Zone",60,200,"3rd",2009
